Year,Player,Pos,Tm,G,PER, Salary ,MP,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,Archetype
1980,Kenny Carr,PF,TOT,79,15.9,,23.3,0,4.8,2.2,7.4,1,0.8,0.7,1.9,3.1,11.8,Rim Protector
1980,Larry Wright,PG,WSB,76,13.3,,16.9,0.1,3,1.3,1.6,2.9,0.6,0.2,1.4,1.9,7.3,Playmaker
1980,Eddie Johnson,SG,ATL,79,18,,33.2,0.1,7.4,3.5,2.5,4.7,1.5,0.3,2.4,2.7,18.5,All Star Playmaker
1980,John Williamson,SG,TOT,58,13.5,,23.7,0.2,6,2,1.7,2.2,0.6,0.3,1.6,2.4,14.6,Playmaker
1980,Rick Robey,C,BOS,82,15.4,,23.4,0,4.6,2.2,6.5,1.1,0.6,0.2,1.8,3,11.5,Rim Protector
1980,John Gianelli,C,UTA,17,5.1,,16.8,0,1.4,0.5,3.6,1,0.4,0.4,1.3,1.5,3.2,Post Scorer
1980,James Hardy,PF,UTA,76,11.8,,21.1,0,2.4,0.7,5.3,1.4,0.6,1.1,1.4,2.7,5.5,Rim Protector
1980,Jamaal Wilkes,SF,LAL,82,17.6,,37.9,0,8.8,2.3,6.4,3,1.6,0.3,1.9,2.7,20,All Star Post Scorer
1980,Bubba Wilson,SG,GSW,16,2.1,,8.9,0,0.4,0.2,1,0.8,0.1,0,0.5,0.7,1.1,Ignorance
1980,Marques Johnson,SF,MIL,77,22,,34.9,0,8.9,3.8,7.4,3.5,1.3,0.9,2.4,2.2,21.7,All Star Post Scorer
1980,Gus Williams,PG,SEA,82,20.6,,36.2,0.1,8.9,4,3.4,4.8,2.4,0.5,2.2,2,22.1,Superstar
1980,Kevin Grevey,SF,WSB,65,13.7,,28,0.5,4.6,3.3,2.9,2.7,0.9,0.2,1.6,2.4,14,Playmaker
1980,Don Buse,PG,PHO,81,10.7,,30.9,0.2,3,1,2.9,4,1.6,0.1,1.1,1.4,7.7,Playmaker
1980,Ralph Simpson,SG,NJN,8,12.6,,10.1,0,2.3,0.6,1.4,1.8,1.1,0,1.5,0.4,5.1,Ignorance
1980,Mack Calvin,PG,UTA,48,14.5,,16.1,0,2.1,2.2,1.8,2.8,0.6,0,1.2,1.5,6.4,Sharpshooter
1980,Wiley Peck,SF,SAS,52,8.9,,12.1,0,1.4,0.7,3.5,0.6,0.3,0.4,0.9,1.9,3.5,Post Scorer
1980,Billy Paultz,C,TOT,84,13.9,,26.1,0,3.9,1.3,7,2.2,0.8,1,1.4,2.5,9.1,Rim Protector
1980,Arvid Kramer,C,DEN,8,6.6,,5.6,0,0.9,0.3,1.5,0.4,0,0.6,0.6,1,2,Ignorance
1980,Jo Jo,PG,GSW,78,11.2,,26.3,0,4.3,1.2,2.3,3.1,1.1,0.2,2,2.4,9.9,Playmaker
1980,Rick Barry,SF,HOU,72,14.8,,25.2,1,3.5,2,3.3,3.7,1.1,0.4,2.1,2.5,12,Playmaker
1980,Willie Smith,PG,CLE,62,12.2,,17,0.3,1.7,0.6,2,4.2,1.2,0,1.5,1.8,4.8,Playmaker
1980,Ron Behagen,PF,WSB,6,10.2,,10.7,0,1.5,0.8,2.3,1.2,0,0.7,0.7,2.3,3.8,Post Scorer
1980,Sylvester Norris,C,SAS,17,3.3,,11.1,0,1.1,0.2,2.5,0.4,0.2,0.7,1.1,2.4,2.4,Post Scorer
1980,Norm Nixon,PG,LAL,82,14.9,,39.3,0,7.6,2.4,2.8,7.8,1.8,0.2,3.5,2.9,17.6,All Star Playmaker
1980,Del Beshore,PG,CHI,68,6.4,,12.8,0.1,1.1,0.9,0.9,2,0.9,0.1,1.5,1.5,3.6,Sharpshooter
1980,Paul Silas,PF,SEA,82,8.2,,19.5,0,1.4,1.1,5.3,0.8,0.3,0.1,1,1.5,3.8,Post Scorer
1980,Maurice Cheeks,PG,PHI,79,15.9,,33.2,0.1,4.5,2.3,3.5,7,2.3,0.4,2.7,2.5,11.4,All Star Playmaker
1980,Sam Smith,SF,CHI,30,14.2,,16.5,0.3,3,1.9,1.8,1.4,0.8,0.2,1.1,1.8,8.6,Sharpshooter
1980,Anthony Roberts,SF,DEN,23,9.3,,21.1,0,3,1.7,4.7,0.9,0.6,0.1,1.2,2.3,7.7,Post Scorer
1980,Joel Kramer,C,PHO,54,10,,13.2,0,1.2,1,2.8,1.4,0.5,0.1,0.9,1.9,3.5,Post Scorer
1980,Tom Owens,C,POR,76,18.1,,30.8,0,6.8,2.8,7.5,2.6,0.6,0.7,2.3,3.6,16.4,All Star Post Scorer
1980,John Mengelt,SG,CHI,36,13.4,,10.8,0,2.5,1.1,0.6,1.1,0.3,0,1,1.5,6.1,Ignorance
1980,Allen Leavell,PG,HOU,77,15.1,,27.6,0,4.2,2.3,2.4,5.4,1.6,0.4,2.7,2.6,10.9,All Star Playmaker
1980,Gus Gerard,SF,KCK,73,14.1,,11.9,0,2.2,0.9,2.4,0.6,0.6,0.4,0.7,1.3,5.3,Post Scorer
1980,Lionel Hollins,SG,TOT,47,10.5,,25.7,0.1,4.4,2.1,1.9,3.4,1.6,0.2,2.7,2.2,11.2,Playmaker
1980,Charlie Criss,PG,ATL,81,11.5,,22.1,0,3.1,2.1,1.4,3,0.9,0,1.6,1.6,8.3,Playmaker
1980,Micheal Ray,SG,NYK,82,17.8,,37.3,0.3,5.8,2.7,6.6,10.1,3.2,0.4,4.4,3.2,15.3,All Star Playmaker
1980,Walt Frazier,PG,CLE,3,13.6,,9,0,1.3,0.7,1,2.7,0.7,0.3,1.3,0.7,3.3,Ignorance
1980,Jim Brewer,PF,POR,67,11.3,,15.2,0,1.3,0.2,3.8,1.1,0.6,0.6,0.7,1.9,2.9,Post Scorer
1980,Rudy White,SG,HOU,9,9.6,,11.8,0,1.4,1.1,1,0.6,0.6,0,0.9,0.9,4,Ignorance
1980,Bernard King,SF,UTA,19,11.4,,22.1,0,3.7,1.8,4.6,2.7,0.4,0.2,2.6,3.5,9.3,Playmaker
1980,Sidney Wicks,PF,SDC,71,8.5,,30.2,0,3,1.2,5.8,3,1.1,0.7,2.4,3.4,7.1,Rim Protector
1980,Randy Smith,SG,CLE,82,15.2,,32.6,0.1,7.2,2.8,3.1,4.4,1.5,0.1,2.4,2.3,17.6,All Star Playmaker
1980,Paul Griffin,C,SAS,82,13.2,,22.1,0,2.1,2.1,5.3,3,1,0.6,1.6,3.7,6.3,Rim Protector
1980,Paul Dawkins,SF,UTA,57,11,,13.6,0,2.5,0.6,2.2,1.4,0.6,0.2,1.3,2,5.5,Post Scorer
1980,Julius Erving,SF,PHI,78,25.4,,36.1,0.1,10.7,5.4,7.4,4.6,2.2,1.8,3.6,2.7,26.9,Superstar
1980,Jim McElroy,PG,TOT,67,10.6,,22.8,0.1,3.3,2,1.5,3.4,0.7,0.3,2,1.8,8.9,Playmaker
1980,Roger Phegley,SG,TOT,78,14.2,,19.4,0.1,4.4,2.3,2.4,1.3,0.4,0.1,1.5,2,11.3,Playmaker
1980,Irv Kiffin,SF,SAS,26,3.7,,8.2,0,1.2,0.7,1.5,0.7,0.4,0.1,1.2,1.7,3.2,Ignorance
1980,Dwight Jones,PF,TOT,74,14.2,,19.6,0,3.5,2,5,1.4,0.4,0.6,1.6,2.8,8.9,Rim Protector
1980,T.R. Dunn,SG,POR,82,12.5,,22.5,0,2.9,1,4,1.8,1.2,0.4,1.1,1.8,6.9,Playmaker
1980,Brian Taylor,PG,SDC,78,13.9,,35.3,1.2,4.2,1.7,2.4,4.3,1.9,0.3,1.8,3.2,13.5,All Star Playmaker
1980,George McGinnis,PF,TOT,73,15.2,,30.2,0,5.5,3.7,9.6,4.6,1.4,0.3,3.8,4.2,14.7,All Star Post Scorer
1980,Terry Tyler,SF,DET,82,14.2,,32.6,0,5.2,1.7,7.6,1.6,1.3,2.7,2.1,2.9,12.3,All Star Big Man
1980,Dave Cowens,C,BOS,66,14.8,,32.7,0,6.4,1.4,8.1,3.1,1,0.9,1.6,3.3,14.2,All Star Post Scorer
1980,Elvin Hayes*,PF,WSB,81,17.2,,39.3,0,9.4,4.1,11.1,1.6,0.8,2.3,2.7,3.8,23,All Star Big Man
1980,Dan Roundfield,PF,ATL,81,19.7,,32,0,6.2,4.1,10.3,2.3,1.2,1.7,2.9,3.9,16.5,All Star Big Man
